Date file created,Month of intercept,Time of intercept,Data sampling period,Sub region of trip,Kind of day,Fish target species,Mode of fishing,Collapsed area of fishing,Distance from shore,Hours on boat,Hours fished,Catch fish,Number of fish avail for inspection
2020-03-16,2,1512,1,6,wd,SPOTTED SEATROUT,7,5,8,7.0,6.0,1,3
2020-03-16,1,1250,1,6,we,RED DRUM,7,5,8,5.0,4.5,2,0
2020-03-16,1,1250,1,6,we,RED DRUM,7,5,8,5.0,4.5,2,0
2020-03-16,2,1303,1,6,we,RED DRUM,7,5,8,6.0,4.0,2,0
2020-03-16,2,1303,1,6,we,RED DRUM,7,5,8,6.0,4.0,2,0
2020-03-16,2,1409,1,6,we,BLACK SEA BASS,8,2,2,7.0,5.0,1,14
2020-03-16,1,1544,1,6,we,BLACK SEA BASS,8,2,2,8.5,6.5,1,3
2020-03-16,2,1602,1,6,we,BLACK SEA BASS,8,2,2,6.0,4.0,2,0
2020-03-16,2,1608,1,6,we,BLACK SEA BASS,8,2,2,6.0,4.0,2,0
2020-03-16,2,1608,1,6,we,BLACK SEA BASS,8,2,2,6.0,4.0,2,0
2020-03-16,2,1640,1,6,we,RED DRUM,8,2,2,5.0,3.0,1,1
2020-03-16,1,1125,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,8
2020-03-16,1,1239,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4
2020-03-16,1,1239,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4
2020-03-16,1,1347,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.0,1,3
2020-03-16,2,1511,1,6,we,SPOTTED SEATROUT,8,5,8,2.0,2.0,1,1
2020-03-16,2,1310,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,2,0
2020-03-16,2,1218,1,6,we,SPOTTED SEATROUT,8,5,8,5.5,5.0,1,8
2020-03-16,2,1323,1,6,we,SPOTTED SEATROUT,8,5,8,5.5,4.0,1,8
2020-03-16,2,1049,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4
2020-03-16,2,1210,1,6,wd,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4
2020-03-16,2,1120,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,4
2020-03-16,2,1234,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.5,1,1
2020-03-16,2,1632,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,2,0
