Date file created,Month of intercept,Time of intercept,Data sampling period,Sub region of trip,Kind of day,Fish target species,Mode of fishing,Collapsed area of fishing,Distance from shore,Hours on boat,Hours fished,Catch fish,Number of fish avail for inspection
2020-03-16,2,1512,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Charter boat,Inland,not applicable,7.0,6.0,Yes,3
2020-03-16,1,1250,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Charter boat,Inland,not applicable,5.0,4.5,No,0
2020-03-16,1,1250,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Charter boat,Inland,not applicable,5.0,4.5,No,0
2020-03-16,2,1303,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Charter boat,Inland,not applicable,6.0,4.0,No,0
2020-03-16,2,1303,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Charter boat,Inland,not applicable,6.0,4.0,No,0
2020-03-16,2,1409,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.0,Yes,14
2020-03-16,1,1544,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.5,6.5,Yes,3
2020-03-16,2,1602,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,4.0,No,0
2020-03-16,2,1608,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,4.0,No,0
2020-03-16,2,1608,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,4.0,No,0
2020-03-16,2,1640,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),5.0,3.0,Yes,1
2020-03-16,1,1125,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,3.5,Yes,8
2020-03-16,1,1239,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,Yes,4
2020-03-16,1,1239,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,Yes,4
2020-03-16,1,1347,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,3.0,Yes,3
2020-03-16,2,1511,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,2.0,2.0,Yes,1
