common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,wp_int,fl_reg,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,date_published
COMMON SNOOK,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835010105,0,1,0,0,0,1,0,0,0,0,5,1,37775.61978,8,37775.61978,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
SERGEANT MAJOR,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835620101,0,2,0,0,0,2,0,0,0,0,5,1,37775.61978,8,37775.61978,2,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
SEA BASS FAMILY,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835020000,0,1,0,0,0,1,0,0,0,0,5,1,37775.61978,8,37775.61978,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
GRUNT FAMILY,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835400000,0,1,0,0,0,1,0,0,0,0,5,1,37775.61978,8,37775.61978,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
UNIDENTIFIED FISH,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,1000000000,0,5,0,0,0,5,0,0,0,0,5,1,37775.61978,8,37775.61978,5,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
BLUE RUNNER,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835280306,0,0,2,0,2,0,0,0,709,1.64,5,1,37775.61978,8,37775.61978,2,1.64,709,2,2020011253weS:8AM-8PM,,0,5/4/21
GRAY SNAPPER,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835360102,0,6,0,0,0,6,0,0,0,0,5,1,37775.61978,8,37775.61978,6,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
GRUNT FAMILY,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835400000,0,0,2,0,2,0,0,0,0,0,5,1,37775.61978,8,37775.61978,2,0,0,2,2020011253weS:8AM-8PM,,0,5/4/21
SAND DRUM,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835441101,0,0,12,0,12,0,0,0,0,0,5,1,37775.61978,8,37775.61978,12,0,0,12,2020011253weS:8AM-8PM,,0,5/4/21
BLUE RUNNER,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835280306,0,1,0,0,0,1,0,0,0,0,5,1,6005.713236,8,6005.713236,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
IRISH POMPANO,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835390201,0,3,0,0,0,3,0,0,0,0,5,1,6005.713236,8,6005.713236,3,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
SPANISH MACKEREL,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8850030502,0,1,0,0,0,1,0,0,0,0,5,1,6005.713236,8,6005.713236,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
