common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,wp_int,fl_reg,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,date_published
COMMON SNOOK,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,1,1534720200103001,6,1,we,8835010105,0,1,0,0,0,1,0,0,0,0,5,01,37775.619779,8,37775.619779,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
SERGEANT MAJOR,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,1,1534720200103001,6,1,we,8835620101,0,2,0,0,0,2,0,0,0,0,5,01,37775.619779,8,37775.619779,2,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
SEA BASS FAMILY,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,1,1534720200103002,6,1,we,8835020000,0,1,0,0,0,1,0,0,0,0,5,01,37775.619779,8,37775.619779,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
GRUNT FAMILY,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,1,1534720200103002,6,1,we,8835400000,0,1,0,0,0,1,0,0,0,0,5,01,37775.619779,8,37775.619779,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
UNIDENTIFIED FISH,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,1,1534720200103003,6,1,we,1000000000,0,5,0,0,0,5,0,0,0,0,5,01,37775.619779,8,37775.619779,5,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
BLUE RUNNER,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,1,1534720200103003,6,1,we,8835280306,0,0,2,0,2,0,0,0,709,1.64,5,01,37775.619779,8,37775.619779,2,1.64,709,2,2020011253weS:8AM-8PM,,0,05/04/2021
GRAY SNAPPER,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,1,1534720200103003,6,1,we,8835360102,0,6,0,0,0,6,0,0,0,0,5,01,37775.619779,8,37775.619779,6,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
GRUNT FAMILY,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,1,1534720200103003,6,1,we,8835400000,0,0,2,0,2,0,0,0,0,0,5,01,37775.619779,8,37775.619779,2,0,0,2,2020011253weS:8AM-8PM,,0,05/04/2021
SAND DRUM,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,1,1534720200103003,6,1,we,8835441101,0,0,12,0,12,0,0,0,0,0,5,01,37775.619779,8,37775.619779,12,0,0,12,2020011253weS:8AM-8PM,,0,05/04/2021
BLUE RUNNER,2020011253weS:8AM-8PM,2020112531534720200117,2020,12,3,1,1534720200117001,6,1,we,8835280306,0,1,0,0,0,1,0,0,0,0,5,01,6005.7132357,8,6005.7132357,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
IRISH POMPANO,2020011253weS:8AM-8PM,2020112531534720200117,2020,12,3,1,1534720200117001,6,1,we,8835390201,0,3,0,0,0,3,0,0,0,0,5,01,6005.7132357,8,6005.7132357,3,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
SPANISH MACKEREL,2020011253weS:8AM-8PM,2020112531534720200117,2020,12,3,1,1534720200117001,6,1,we,8850030502,0,1,0,0,0,1,0,0,0,0,5,01,6005.7132357,8,6005.7132357,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
,2020011253weS:8AM-8PM,2020112531534720200117,2020,12,3,1,1534720200117002,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,6005.7132357,8,6005.7132357,0,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
BONEFISH,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124001,6,1,we,8739010101,0,1,0,0,0,1,0,0,0,0,5,01,2115.1642957,8,2115.1642957,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
