prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,telefon,COASTAL,kod,ASG_CODE,MODE_ASG,new_list,PRT_CODE,CELLTYPE,region,strat_interval,month,fshinsp_a,num_fish_a,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,GENDER,AGE,REEF,date1,DIST,prim1,prim2,MODE2001,TURTLE,REEFCODE,AREA_NC,ART_REEF,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,date_published
FLORIDA POMPANO,COMMON SNOOK,2020011253weS:8AM-8PM,2020112531534720200103,2020,6,12,11,12,86,170,2,3,1,1,1,0.00,50,5,1,2,0,0,0,,,1534720200103001,6,1,2,,,,,Y,we,1534720200103,1,,1534720200103001,1,5,S:8AM-8PM,01,,,BROWARD,1318,167648,168708,1,1,,8,2,8,1,56,2,20FEB202011:30,1,8835010105,8835280901,,,,,,,,37775.619779,2020011253weS:8AM-8PM,,0,1534720200103001,33021,05/04/2021
,CREVALLE JACK,2020011253weS:8AM-8PM,2020112531534720200103,2020,6,12,86,12,86,170,2,3,1,1,5,0.00,6,2,1,2,0,0,0,,,1534720200103002,6,1,2,,,,,Y,we,1534720200103,1,,1534720200103002,1,5,S:8AM-8PM,01,,,MIAMI-DADE,1332,168609,,1,1,,8,2,8,1,66,2,20FEB202011:30,1,8835280303,,,,,,,,,37775.619779,2020011253weS:8AM-8PM,,0,1534720200103002,33162,05/04/2021
,,2020011253weS:8AM-8PM,2020112531534720200103,2020,6,12,86,12,86,170,2,3,1,1,5,0.00,6,2,1,5,0,0,0,,,1534720200103003,6,1,2,,,,,Y,we,1534720200103,1,,1534720200103003,1,5,S:8AM-8PM,01,0,16,MIAMI-DADE,1333,,,1,1,,8,2,8,2,68,2,20FEB202011:30,1,,,,,,,,,,37775.619779,2020011253weS:8AM-8PM,,0,1534720200103003,33162,05/04/2021
MULLET GENUS,PINFISH,2020011253weS:8AM-8PM,2020112531534720200117,2020,0,39,153,12,11,109,1,3,1,1,4,0.00,2,2,1,3,0,0,0,,,1534720200117001,6,1,2,,,,,O,we,1534720200117,1,,1534720200117001,1,5,S:8AM-8PM,01,,,,1408,169187,170334,1,1,,8,2,8,1,999,2,20FEB202011:30,1,8835430201,8836010100,,,,,,,,6005.7132357,2020011253weS:8AM-8PM,,0,1534720200117001,44262,05/04/2021
,,2020011253weS:8AM-8PM,2020112531534720200117,2020,0,39,153,12,11,109,1,3,1,1,4,,2,2,1,0,0,0,0,,,1534720200117002,6,1,2,,,,,O,we,1534720200117,1,,1534720200117002,,5,S:8AM-8PM,01,,,,1409,,,1,1,,8,2,8,1,999,2,20FEB202011:30,1,,,,,,,,,,6005.7132357,2020011253weS:8AM-8PM,,0,1534720200117002,44262,05/04/2021
,,2020011253weS:8AM-8PM,2020112531534720200124,2020,4,9,9,12,99,1448,1,3,1,1,5,0.00,1,0,1,2,0,0,0,,,1534720200124001,6,1,2,,,,,O,we,1534720200124,1,,1534720200124001,1,5,S:8AM-8PM,01,,,NEW HAVEN,1416,,,1,1,,8,2,8,1,74,2,20FEB202011:30,1,,,,,,,,,,2115.1642957,2020011253weS:8AM-8PM,,0,1534720200124001,06516,05/04/2021
,,2020011253weS:8AM-8PM,2020112531534720200124,2020,6,12,99,12,99,1448,1,3,1,1,5,0.00,4,0,1,2,0,0,0,,,1534720200124002,6,1,2,,,,,Y,we,1534720200124,1,,1534720200124002,1,5,S:8AM-8PM,01,,,PALM BEACH,1417,,,1,1,,8,1,8,1,57,2,20FEB202011:30,1,,,,,,,,,,2115.1642957,2020011253weS:8AM-8PM,,0,1534720200124002,33470,05/04/2021
,FLORIDA POMPANO,2020011253weS:8AM-8PM,2020112531534720200124,2020,6,12,99,12,99,1448,1,3,1,1,3,0.00,90,0,1,2,1,0,0,,,1534720200124003,6,1,1,,,,,Y,we,1534720200124,1,,1534720200124003,1,5,S:8AM-8PM,01,1,0,PALM BEACH,1540,168708,,1,1,,8,1,1,1,60,2,20FEB202011:30,1,8835280901,,,,,,,,,2115.1642957,2020011253weS:8AM-8PM,,0,1534720200124003,33418,05/04/2021
,,2020011253weS:8AM-8PM,2020112531534720200124,2020,6,12,99,12,99,1448,1,3,1,1,2,,5,1,1,0,0,0,0,,,1534720200124004,6,1,2,,,,,Y,we,1534720200124,1,,1534720200124004,,5,S:8AM-8PM,01,,,PALM BEACH,1603,,,1,1,,8,2,8,1,68,2,20FEB202011:30,1,,,,,,,,,,2115.1642957,2020011253weS:8AM-8PM,,0,1534720200124004,33480,05/04/2021
,,2020011253weS:8AM-8PM,2020112531534720200124,2020,0,39,99,12,99,1448,1,3,1,1,3,,10,1,1,0,0,0,0,,,1534720200124005,6,1,2,,,,,O,we,1534720200124,1,,1534720200124005,,5,S:8AM-8PM,01,,,,1618,,,1,1,,8,2,8,1,68,2,20FEB202011:30,1,,,,,,,,,,2115.1642957,2020011253weS:8AM-8PM,,0,1534720200124005,44514,05/04/2021
