index,Date file created_k,Month of intercept_k,Time of intercept_k,Data sampling period_k,Sub region of trip_k,Kind of day_k,Fish target species_k,Mode of fishing_k,Collapsed area of fishing_k,Distance from shore_k,Hours on boat_k,Hours fished_k,Catch fish_k,Number of fish avail for inspection_k,County of intercept_k,State of intercept_k,Area of fishing_k,Angler age_k,Angler gender_k,Number in fishing party_k,Number of contributing fishermen_k,See any sea turtles while fishing?_k
0,16-Mar-20,2,1512,1,6,wd,SPOTTED SEATROUT,7,5,8,7,6,1,3,133,37,3,52,1,2,2,3
1,16-Mar-20,1,1250,1,6,we,RED DRUM,7,5,8,5,4.5,2,0,129,37,3,69,1,2,1,3
2,16-Mar-20,1,1250,1,6,we,RED DRUM,7,5,8,5,4.5,2,0,129,37,3,70,1,2,1,3
3,16-Mar-20,2,1303,1,6,we,RED DRUM,7,5,8,6,4,2,0,129,37,3,36,1,4,1,3
4,16-Mar-20,2,1303,1,6,we,RED DRUM,7,5,8,6,4,2,0,129,37,3,50,1,4,1,3
5,16-Mar-20,2,1409,1,6,we,BLACK SEA BASS,8,2,2,7,5,1,14,31,37,1,25,1,2,2,1
6,16-Mar-20,1,1434,1,6,wd,BLUEFIN TUNA,8,2,2,7.5,4,2,0,31,37,1,68,1,2,1,3
7,16-Mar-20,1,1435,1,6,wd,BLUEFIN TUNA,8,2,2,7.5,4,2,0,31,37,1,67,2,2,1,3
8,16-Mar-20,1,1542,1,6,wd,VERMILION SNAPPER,8,2,2,5.5,3,2,0,31,37,1,47,1,4,1,1
9,16-Mar-20,1,1544,1,6,wd,VERMILION SNAPPER,8,2,2,5.5,3,2,0,31,37,1,10,1,4,1,1
10,16-Mar-20,1,1645,1,6,wd,WAHOO,8,2,2,10,5,2,0,31,37,1,39,1,3,1,3
11,16-Mar-20,1,1646,1,6,wd,WAHOO,8,2,2,10,5,2,0,31,37,1,11,1,3,1,3
12,16-Mar-20,1,1646,1,6,wd,WAHOO,8,2,2,10,5,2,0,31,37,1,28,1,3,1,3
13,16-Mar-20,1,1544,1,6,we,BLACK SEA BASS,8,2,2,8.5,6.5,1,3,19,37,1,64,1,3,3,3
14,16-Mar-20,2,1553,1,6,we,YELLOWFIN TUNA,8,2,2,8,6,2,0,55,37,1,36,1,5,1,1
15,16-Mar-20,2,1602,1,6,we,BLACK SEA BASS,8,2,2,6,4,2,0,55,37,1,56,1,3,1,3
16,16-Mar-20,2,1608,1,6,we,BLACK SEA BASS,8,2,2,6,4,2,0,55,37,1,53,1,3,1,3
17,16-Mar-20,2,1608,1,6,we,BLACK SEA BASS,8,2,2,6,4,2,0,55,37,1,36,1,3,1,3
18,16-Mar-20,2,1612,1,6,we,TUNA GENUS,8,2,2,11,9,1,1,55,37,1,30,1,4,1,3
19,16-Mar-20,2,1622,1,6,we,BLUEFIN TUNA,8,2,2,8,6,2,0,55,37,1,41,1,5,1,3
20,16-Mar-20,2,1624,1,6,we,BLUEFIN TUNA,8,2,2,8,6,2,0,55,37,1,33,1,5,1,3
21,16-Mar-20,2,1624,1,6,we,BLUEFIN TUNA,8,2,2,8,6,2,0,55,37,1,32,1,5,1,3
22,16-Mar-20,2,1640,1,6,we,RED DRUM,8,2,2,5,3,1,1,31,37,1,23,1,2,1,3
23,16-Mar-20,2,1452,1,6,we,WAHOO,8,2,2,10,5,1,2,31,37,1,26,1,6,5,3
24,16-Mar-20,1,1125,1,6,we,SPOTTED SEATROUT,8,5,8,4,3.5,1,8,137,37,3,72,1,2,2,3
25,16-Mar-20,1,1239,1,6,we,SPOTTED SEATROUT,8,5,8,3,2.5,1,4,137,37,3,39,1,2,1,3
26,16-Mar-20,1,1239,1,6,we,SPOTTED SEATROUT,8,5,8,3,2.5,1,4,137,37,3,39,1,2,1,3
27,16-Mar-20,1,1347,1,6,we,SPOTTED SEATROUT,8,5,8,4,3,1,3,137,37,3,60,1,2,1,3
28,16-Mar-20,2,1511,1,6,we,SPOTTED SEATROUT,8,5,8,2,2,1,1,31,37,3,41,1,2,1,3
29,16-Mar-20,2,1310,1,6,we,SPOTTED SEATROUT,8,5,8,3,2.5,2,0,49,37,3,38,1,2,1,3
30,16-Mar-20,2,1218,1,6,we,SPOTTED SEATROUT,8,5,8,5.5,5,1,8,13,37,3,30,1,2,2,3
31,16-Mar-20,2,1323,1,6,we,SPOTTED SEATROUT,8,5,8,5.5,4,1,8,13,37,3,29,1,3,3,3
32,16-Mar-20,2,1049,1,6,we,SPOTTED SEATROUT,8,5,8,3,2.5,1,4,137,37,3,27,1,1,1,3
33,16-Mar-20,2,1210,1,6,wd,SPOTTED SEATROUT,8,5,8,3,2.5,1,4,13,37,3,54,1,1,1,3
34,16-Mar-20,2,1120,1,6,we,SPOTTED SEATROUT,8,5,8,4,3.5,1,4,49,37,3,57,1,1,1,3
35,16-Mar-20,2,1234,1,6,we,SPOTTED SEATROUT,8,5,8,5,4.5,1,1,49,37,3,53,1,2,1,3
36,16-Mar-20,2,1632,1,6,we,SPOTTED SEATROUT,8,5,8,3,2.5,2,0,49,37,3,67,1,1,1,3
37,16-Mar-20,2,1312,1,6,we,KINGFISH GENUS,8,5,8,3,2,1,6,31,37,3,35,1,2,2,3
38,16-Mar-20,1,1506,1,6,wd,SOUTHERN KINGFISH,8,5,8,6,5,2,0,19,37,3,69,1,2,1,3
