Date file created,Month of intercept,Time of intercept,Data sampling period,Sub region of trip,Kind of day,Fish target species,Mode of fishing,Collapsed area of fishing,Distance from shore,Hours on boat,Hours fished,Catch fish,Number of fish avail for inspection,County of intercept,State of intercept,Area of fishing,Angler age,Angler gender,Number in fishing party,Number of contributing fishermen,See any sea turtles while fishing?
2020-03-16,2,1512,1,6,wd,SPOTTED SEATROUT,7,5,8,7.0,6.0,1,3,133,37,3,52,1,2,2,3
2020-03-16,1,1250,1,6,we,RED DRUM,7,5,8,5.0,4.5,2,0,129,37,3,69,1,2,1,3
2020-03-16,1,1250,1,6,we,RED DRUM,7,5,8,5.0,4.5,2,0,129,37,3,70,1,2,1,3
2020-03-16,2,1303,1,6,we,RED DRUM,7,5,8,6.0,4.0,2,0,129,37,3,36,1,4,1,3
2020-03-16,2,1303,1,6,we,RED DRUM,7,5,8,6.0,4.0,2,0,129,37,3,50,1,4,1,3
2020-03-16,2,1409,1,6,we,BLACK SEA BASS,8,2,2,7.0,5.0,1,14,31,37,1,25,1,2,2,1
2020-03-16,1,1434,1,6,wd,BLUEFIN TUNA,8,2,2,7.5,4.0,2,0,31,37,1,68,1,2,1,3
2020-03-16,1,1435,1,6,wd,BLUEFIN TUNA,8,2,2,7.5,4.0,2,0,31,37,1,67,2,2,1,3
2020-03-16,1,1542,1,6,wd,VERMILION SNAPPER,8,2,2,5.5,3.0,2,0,31,37,1,47,1,4,1,1
2020-03-16,1,1544,1,6,wd,VERMILION SNAPPER,8,2,2,5.5,3.0,2,0,31,37,1,10,1,4,1,1
2020-03-16,1,1645,1,6,wd,WAHOO,8,2,2,10.0,5.0,2,0,31,37,1,39,1,3,1,3
2020-03-16,1,1646,1,6,wd,WAHOO,8,2,2,10.0,5.0,2,0,31,37,1,11,1,3,1,3
2020-03-16,1,1646,1,6,wd,WAHOO,8,2,2,10.0,5.0,2,0,31,37,1,28,1,3,1,3
2020-03-16,1,1544,1,6,we,BLACK SEA BASS,8,2,2,8.5,6.5,1,3,19,37,1,64,1,3,3,3
2020-03-16,2,1553,1,6,we,YELLOWFIN TUNA,8,2,2,8.0,6.0,2,0,55,37,1,36,1,5,1,1
2020-03-16,2,1602,1,6,we,BLACK SEA BASS,8,2,2,6.0,4.0,2,0,55,37,1,56,1,3,1,3
2020-03-16,2,1608,1,6,we,BLACK SEA BASS,8,2,2,6.0,4.0,2,0,55,37,1,53,1,3,1,3
2020-03-16,2,1608,1,6,we,BLACK SEA BASS,8,2,2,6.0,4.0,2,0,55,37,1,36,1,3,1,3
2020-03-16,2,1612,1,6,we,TUNA GENUS,8,2,2,11.0,9.0,1,1,55,37,1,30,1,4,1,3
2020-03-16,2,1622,1,6,we,BLUEFIN TUNA,8,2,2,8.0,6.0,2,0,55,37,1,41,1,5,1,3
2020-03-16,2,1624,1,6,we,BLUEFIN TUNA,8,2,2,8.0,6.0,2,0,55,37,1,33,1,5,1,3
2020-03-16,2,1624,1,6,we,BLUEFIN TUNA,8,2,2,8.0,6.0,2,0,55,37,1,32,1,5,1,3
2020-03-16,2,1640,1,6,we,RED DRUM,8,2,2,5.0,3.0,1,1,31,37,1,23,1,2,1,3
2020-03-16,2,1452,1,6,we,WAHOO,8,2,2,10.0,5.0,1,2,31,37,1,26,1,6,5,3
2020-03-16,1,1125,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,8,137,37,3,72,1,2,2,3
2020-03-16,1,1239,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4,137,37,3,39,1,2,1,3
2020-03-16,1,1239,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4,137,37,3,39,1,2,1,3
2020-03-16,1,1347,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.0,1,3,137,37,3,60,1,2,1,3
2020-03-16,2,1511,1,6,we,SPOTTED SEATROUT,8,5,8,2.0,2.0,1,1,31,37,3,41,1,2,1,3
2020-03-16,2,1310,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,2,0,49,37,3,38,1,2,1,3
2020-03-16,2,1218,1,6,we,SPOTTED SEATROUT,8,5,8,5.5,5.0,1,8,13,37,3,30,1,2,2,3
2020-03-16,2,1323,1,6,we,SPOTTED SEATROUT,8,5,8,5.5,4.0,1,8,13,37,3,29,1,3,3,3
2020-03-16,2,1049,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4,137,37,3,27,1,1,1,3
2020-03-16,2,1210,1,6,wd,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4,13,37,3,54,1,1,1,3
