Hours on boat,Hours fished,Number of fish avail for inspection,Number in fishing party,Number of contributing fishermen
1647.5,1113.5,2489,811,716
676.0,523.0,1816,629,457
1307.5,854.5,1548,666,572
1028.0,736.5,1262,516,459
2010.5,1680.0,1104,796,549
757.5,473.5,618,352,238
826.0,632.0,522,391,219
669.5,547.5,455,331,162
415.0,358.0,361,204,136
1084.5,856.0,331,390,256
323.0,260.0,325,194,149
148.5,108.0,310,86,86
221.0,179.0,294,135,110
1066.5,822.5,278,468,232
458.5,310.0,248,162,94
250.5,157.0,243,144,85
265.5,172.0,209,169,99
51.0,39.5,198,65,65
48.0,36.0,196,48,36
670.5,499.5,158,237,114
345.5,226.0,139,138,74
117.5,72.5,115,52,34
210.5,167.0,104,82,51
170.5,145.5,95,72,41
87.0,63.5,84,55,28
454.5,311.5,80,205,82
79.0,53.5,79,36,23
50.5,30.0,70,38,16
123.0,104.5,68,58,44
43.0,32.0,63,26,21
131.5,102.5,63,56,42
37.5,24.5,60,22,22
60.5,34.5,58,33,26
47.0,36.5,42,25,10
11.5,6.5,41,4,4
22.5,15.5,39,17,9
64.0,49.5,36,21,13
121.5,65.0,33,43,26
9.0,5.0,27,3,3
10.0,6.5,26,2,2
22.0,14.5,24,8,8
47.5,41.5,24,24,14
9.0,7.5,24,8,8
35.0,19.5,22,12,12
67.5,46.5,21,27,13
8.0,4.0,21,6,6
34.0,29.5,20,14,11
4.5,3.5,20,5,5
54.0,40.0,19,26,15
14.0,8.5,16,8,8
8.0,6.0,15,2,2
4.0,3.0,15,6,6
65.5,47.5,13,27,11
78.5,61.0,9,42,15
4.0,3.0,7,2,2
8.0,7.0,7,8,5
67.5,56.5,5,33,14
37.5,21.5,4,25,5
12.0,6.0,3,3,3
5.0,2.0,3,4,4
11.0,8.0,3,2,2
6.0,4.0,3,6,3
8.0,6.0,2,12,2
20.0,16.0,2,16,4
36.0,23.0,2,16,6
37.0,23.0,2,11,5
11.0,8.5,1,5,1
18.0,12.0,1,4,1
11.0,6.0,0,8,2
25.0,20.0,0,30,5
18.0,15.0,0,9,3
12.0,10.0,0,4,2
23.0,21.0,0,13,5
10.0,6.0,0,3,2
24.5,23.0,0,6,3
51.0,25.0,0,38,7
10.0,5.0,0,4,2
18.0,15.0,0,36,6
