Date file created,Month of intercept,Time of intercept,Data sampling period,Sub region of trip,Kind of day,Fish target species,Mode of fishing,Collapsed area of fishing,Distance from shore,Hours on boat,Hours fished,Catch fish,Number of fish avail for inspection,County of intercept,State of intercept,Area of fishing,Angler age,Angler gender,Number in fishing party,Number of contributing fishermen,See any sea turtles while fishing?
"['16MAR20', '08', '31']",2,1512,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Charter boat,Inland,not applicable,7.0,6.0,Yes,3,Onslow,NC,River,52,Male,2,2,No
"['16MAR20', '08', '31']",1,1250,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Charter boat,Inland,not applicable,5.0,4.5,No,0,New Hanover,NC,River,69,Male,2,1,No
"['16MAR20', '08', '31']",1,1250,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Charter boat,Inland,not applicable,5.0,4.5,No,0,New Hanover,NC,River,70,Male,2,1,No
"['16MAR20', '08', '31']",2,1303,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Charter boat,Inland,not applicable,6.0,4.0,No,0,New Hanover,NC,River,36,Male,4,1,No
"['16MAR20', '08', '31']",2,1303,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Charter boat,Inland,not applicable,6.0,4.0,No,0,New Hanover,NC,River,50,Male,4,1,No
"['16MAR20', '08', '31']",2,1409,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.0,5.0,Yes,14,Carteret,NC,Open water,25,Male,2,2,"Yes, alive"
"['16MAR20', '08', '31']",1,1434,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,BLUEFIN TUNA,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.5,4.0,No,0,Carteret,NC,Open water,68,Male,2,1,No
"['16MAR20', '08', '31']",1,1435,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,BLUEFIN TUNA,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),7.5,4.0,No,0,Carteret,NC,Open water,67,Female,2,1,No
"['16MAR20', '08', '31']",1,1542,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,VERMILION SNAPPER,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),5.5,3.0,No,0,Carteret,NC,Open water,47,Male,4,1,"Yes, alive"
"['16MAR20', '08', '31']",1,1544,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,VERMILION SNAPPER,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),5.5,3.0,No,0,Carteret,NC,Open water,10,Male,4,1,"Yes, alive"
"['16MAR20', '08', '31']",1,1645,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,WAHOO,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),10.0,5.0,No,0,Carteret,NC,Open water,39,Male,3,1,No
"['16MAR20', '08', '31']",1,1646,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,WAHOO,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),10.0,5.0,No,0,Carteret,NC,Open water,11,Male,3,1,No
"['16MAR20', '08', '31']",1,1646,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,WAHOO,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),10.0,5.0,No,0,Carteret,NC,Open water,28,Male,3,1,No
"['16MAR20', '08', '31']",1,1544,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.5,6.5,Yes,3,Brunswick,NC,Open water,64,Male,3,3,No
"['16MAR20', '08', '31']",2,1553,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,YELLOWFIN TUNA,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,6.0,No,0,Dare,NC,Open water,36,Male,5,1,"Yes, alive"
"['16MAR20', '08', '31']",2,1602,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,4.0,No,0,Dare,NC,Open water,56,Male,3,1,No
"['16MAR20', '08', '31']",2,1608,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,4.0,No,0,Dare,NC,Open water,53,Male,3,1,No
"['16MAR20', '08', '31']",2,1608,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLACK SEA BASS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),6.0,4.0,No,0,Dare,NC,Open water,36,Male,3,1,No
"['16MAR20', '08', '31']",2,1612,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,TUNA GENUS,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),11.0,9.0,Yes,1,Dare,NC,Open water,30,Male,4,1,No
"['16MAR20', '08', '31']",2,1622,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLUEFIN TUNA,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,6.0,No,0,Dare,NC,Open water,41,Male,5,1,No
"['16MAR20', '08', '31']",2,1624,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLUEFIN TUNA,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,6.0,No,0,Dare,NC,Open water,33,Male,5,1,No
"['16MAR20', '08', '31']",2,1624,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,BLUEFIN TUNA,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),8.0,6.0,No,0,Dare,NC,Open water,32,Male,5,1,No
"['16MAR20', '08', '31']",2,1640,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,RED DRUM,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),5.0,3.0,Yes,1,Carteret,NC,Open water,23,Male,2,1,No
"['16MAR20', '08', '31']",2,1452,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,WAHOO,Private/Rental boat,Ocean > 3 mi (all but WFL),> 3 miles (all but in WFL),10.0,5.0,Yes,2,Carteret,NC,Open water,26,Male,6,5,No
"['16MAR20', '08', '31']",1,1125,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,3.5,Yes,8,Pamlico,NC,River,72,Male,2,2,No
"['16MAR20', '08', '31']",1,1239,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,Yes,4,Pamlico,NC,River,39,Male,2,1,No
"['16MAR20', '08', '31']",1,1239,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,Yes,4,Pamlico,NC,River,39,Male,2,1,No
"['16MAR20', '08', '31']",1,1347,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,3.0,Yes,3,Pamlico,NC,River,60,Male,2,1,No
"['16MAR20', '08', '31']",2,1511,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,2.0,2.0,Yes,1,Carteret,NC,River,41,Male,2,1,No
"['16MAR20', '08', '31']",2,1310,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,No,0,Craven,NC,River,38,Male,2,1,No
"['16MAR20', '08', '31']",2,1218,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,5.5,5.0,Yes,8,Beaufort,NC,River,30,Male,2,2,No
"['16MAR20', '08', '31']",2,1323,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,5.5,4.0,Yes,8,Beaufort,NC,River,29,Male,3,3,No
"['16MAR20', '08', '31']",2,1049,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,Yes,4,Pamlico,NC,River,27,Male,1,1,No
"['16MAR20', '08', '31']",2,1210,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,Yes,4,Beaufort,NC,River,54,Male,1,1,No
"['16MAR20', '08', '31']",2,1120,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,3.5,Yes,4,Craven,NC,River,57,Male,1,1,No
"['16MAR20', '08', '31']",2,1234,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,5.0,4.5,Yes,1,Craven,NC,River,53,Male,2,1,No
"['16MAR20', '08', '31']",2,1632,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,No,0,Craven,NC,River,67,Male,1,1,No
"['16MAR20', '08', '31']",2,1312,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,KINGFISH GENUS,Private/Rental boat,Inland,not applicable,3.0,2.0,Yes,6,Carteret,NC,River,35,Male,2,2,No
"['16MAR20', '08', '31']",1,1506,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SOUTHERN KINGFISH,Private/Rental boat,Inland,not applicable,6.0,5.0,No,0,Brunswick,NC,River,69,Male,2,1,No
"['16MAR20', '08', '31']",1,1506,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SOUTHERN KINGFISH,Private/Rental boat,Inland,not applicable,6.0,5.0,No,0,Brunswick,NC,River,67,Male,2,1,No
"['16MAR20', '08', '31']",1,1542,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,5.0,4.5,Yes,1,Brunswick,NC,Other,62,Male,2,1,No
"['16MAR20', '08', '31']",1,1639,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,STRIPED BASS,Private/Rental boat,Inland,not applicable,8.0,6.0,Yes,6,New Hanover,NC,River,36,Male,3,3,No
"['16MAR20', '08', '31']",2,1134,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,5.0,4.0,Yes,1,New Hanover,NC,River,16,Male,2,1,No
"['16MAR20', '08', '31']",2,1537,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,6.0,5.0,Yes,3,Brunswick,NC,Other,65,Male,2,2,No
"['16MAR20', '08', '31']",1,1338,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,6.0,5.0,Yes,8,Hyde,NC,Albemarle/Pamlico Estuary,56,Male,2,2,No
"['16MAR20', '08', '31']",1,1523,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SHEEPSHEAD,Private/Rental boat,Inland,not applicable,5.0,4.0,Yes,1,Carteret,NC,River,54,Male,2,1,No
"['16MAR20', '08', '31']",1,1204,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,2.5,2.0,Yes,1,Carteret,NC,Sound,58,Male,1,1,No
"['16MAR20', '08', '31']",1,1525,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,6.0,6.0,Yes,3,Carteret,NC,River,72,Male,2,1,No
"['16MAR20', '08', '31']",1,1600,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,6.5,5.0,Yes,4,Carteret,NC,River,63,Male,1,1,No
"['16MAR20', '08', '31']",1,1425,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,7.0,5.0,Yes,4,Carteret,NC,Sound,62,Male,1,1,No
"['16MAR20', '08', '31']",1,1125,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.5,3.0,Yes,2,Onslow,NC,River,67,Male,1,1,No
"['16MAR20', '08', '31']",1,1137,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.5,4.0,Yes,4,Onslow,NC,River,54,Male,1,1,No
"['16MAR20', '08', '31']",1,1236,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,5.5,4.0,Yes,5,Onslow,NC,River,62,Male,2,2,No
"['16MAR20', '08', '31']",1,1427,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,2.0,Yes,1,Onslow,NC,Sound,64,Male,1,1,No
"['16MAR20', '08', '31']",1,1431,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,2.0,Yes,1,Onslow,NC,Sound,53,Male,1,1,No
"['16MAR20', '08', '31']",2,1452,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,BLACK DRUM,Private/Rental boat,Inland,not applicable,8.0,7.0,Yes,3,Onslow,NC,River,35,Male,3,2,No
"['16MAR20', '08', '31']",1,1112,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,5.0,4.0,Yes,8,Beaufort,NC,River,55,Male,2,2,No
"['16MAR20', '08', '31']",1,1157,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,Yes,4,Beaufort,NC,River,74,Male,2,1,No
"['16MAR20', '08', '31']",1,1121,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,3.0,Yes,3,Craven,NC,River,29,Male,1,1,No
"['16MAR20', '08', '31']",1,1208,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,3.5,Yes,3,Craven,NC,River,65,Male,2,1,No
"['16MAR20', '08', '31']",1,1235,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,6.0,5.0,Yes,7,Craven,NC,River,20,Male,3,3,No
"['16MAR20', '08', '31']",1,1700,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,11.0,10.0,Yes,6,Craven,NC,River,30,Male,3,3,No
"['16MAR20', '08', '31']",1,1240,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,3.0,Yes,3,Craven,NC,River,66,Male,1,1,No
"['16MAR20', '08', '31']",1,1249,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,4.0,Yes,4,Craven,NC,River,70,Male,1,1,No
"['16MAR20', '08', '31']",1,1321,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,6.0,6.0,Yes,3,Craven,NC,River,71,Male,2,1,No
"['16MAR20', '08', '31']",1,1324,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,6.0,6.0,Yes,1,Craven,NC,River,71,Male,2,1,No
"['16MAR20', '08', '31']",1,1501,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,3.0,2.5,Yes,1,Craven,NC,River,61,Male,3,1,No
"['16MAR20', '08', '31']",1,1443,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,3.5,Yes,5,Craven,NC,River,48,Male,2,1,No
"['16MAR20', '08', '31']",1,1443,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,4.0,3.5,Yes,1,Craven,NC,River,40,Male,2,1,No
"['16MAR20', '08', '31']",1,1645,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,2.5,2.5,Yes,8,Craven,NC,River,60,Male,2,2,No
"['16MAR20', '08', '31']",1,1240,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,5.0,4.5,Yes,1,Beaufort,NC,River,29,Male,3,1,No
"['16MAR20', '08', '31']",1,1205,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,6.0,4.5,Yes,8,Pamlico,NC,River,37,Male,2,2,No
"['16MAR20', '08', '31']",1,1340,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,6.0,5.0,Yes,7,Pamlico,NC,River,45,Male,2,2,No
"['16MAR20', '08', '31']",1,1210,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,Private/Rental boat,Inland,not applicable,5.0,5.0,Yes,6,Pamlico,NC,River,75,Male,2,2,No
